"","Site","NetType","NetTypeRep","Rep","DebitL","PartType","Polymer","Count","PPML1","Salinity"
"52","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyethylene",NA,NA,"BContrecœur"
"53","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyester",NA,NA,"BContrecœur"
"54","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polypropylene",NA,NA,"BContrecœur"
"55","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Nylon",NA,NA,"BContrecœur"
"56","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polystyrene",NA,NA,"BContrecœur"
"57","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyethylene+Polypropylene",NA,NA,"BContrecœur"
"58","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyvinyl acetate",NA,NA,"BContrecœur"
"59","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyvinyl acrylate",NA,NA,"BContrecœur"
"60","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Poly(acrylate-styrene)",NA,NA,"BContrecœur"
"61","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyacrylonitrile",NA,NA,"BContrecœur"
"62","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Ethylene vinyl acetate",NA,NA,"BContrecœur"
"63","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyether urethane",NA,NA,"BContrecœur"
"64","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyvinyl Chloride",NA,NA,"BContrecœur"
"65","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Poly(chloroprene)",NA,NA,"BContrecœur"
"66","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Poly(methyl methacrylate)",NA,NA,"BContrecœur"
"67","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Polyethylacrylate",NA,NA,"BContrecœur"
"68","BContrecœur","Manta","Manta-1","1",166416,"Sphere","Silicone",NA,NA,"BContrecœur"
"69","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyethylene",1,10.0838980316231,"BContrecœur"
"70","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyester",NA,NA,"BContrecœur"
"71","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polypropylene",NA,NA,"BContrecœur"
"72","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Nylon",NA,NA,"BContrecœur"
"73","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polystyrene",NA,NA,"BContrecœur"
"74","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyethylene+Polypropylene",NA,NA,"BContrecœur"
"75","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyvinyl acetate",NA,NA,"BContrecœur"
"76","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyvinyl acrylate",NA,NA,"BContrecœur"
"77","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Poly(acrylate-styrene)",NA,NA,"BContrecœur"
"78","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyacrylonitrile",NA,NA,"BContrecœur"
"79","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Ethylene vinyl acetate",NA,NA,"BContrecœur"
"80","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyether urethane",NA,NA,"BContrecœur"
"81","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyvinyl Chloride",NA,NA,"BContrecœur"
"82","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Poly(chloroprene)",NA,NA,"BContrecœur"
"83","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Poly(methyl methacrylate)",NA,NA,"BContrecœur"
"84","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Polyethylacrylate",NA,NA,"BContrecœur"
"85","BContrecœur","Manta","Manta-2","2",198336,"Sphere","Silicone",NA,NA,"BContrecœur"
"86","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyethylene",NA,NA,"BContrecœur"
"87","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyester",NA,NA,"BContrecœur"
